"title","description"
"Pepas Dulce de Leche (12) Keto","Nuestras Pepas de Dulce de Leche sin Azúcar, irresistibles, están hechas especialmente para quienes siguen un estilo de vida Keto o buscan opciones bajas en carbohidratos. Disfrutá de la suavidad del clásico dulce de leche sin azúcar, acompañado de una masa crocante, libre de harinas refinadas. Vienen en bandeja de 12 unidades."
"Nueces con Dulce de Leche (6)","Nuestras nueces rellenas con dulce de leche y bañadas en chocolate, todo sin azúcar, son la versión saludable del clásico tentador. Crocantes, bien nueceras y con ese toque de dulce de leche que te hace decir ""¡qué rico esto!"". Un snack ideal para el mate, o cuando pinta el antojo dulce sin salirte de la línea. Vienen de a 6 unidades."
"Scons de Queso Keto (8)","Nuestros scones de queso keto son la opción perfecta para quienes buscan un snack delicioso y bajo en carbohidratos. Hechos con harina de almendras y queso de calidad, tienen una textura suave y esponjosa, con el sabor irresistible del queso derretido. Ideales para acompañar el mate, el café o como parte de una picada saludable. ¡Disfrutá sin culpa! (Vienen de a 8 unidades)."
"Crackers Keto","Crackers Keto (250g) livianas, crocantes y bajas en carbohidratos. Ideales para picadas saludables y acompañar tus dips favoritos. Una delicia!"
"Mantecol Saludable","¡Mantecol Saludable que no tiene nada que envidiarle al original! 🎉 Reinventamos el clásico mantecol con una versión saludable y deliciosa de aproximadamente 170 gramos de puro sabor 💣. Elaborado con ingredientes naturales como pasta de maní, frutos secos y chocolate sin azúcar, es la opción perfecta para quienes buscan darse un gusto dulce sin culpas. Aunque igualar el sabor del mantecol tradicional es un desafío, esta versión es igual de irresistible (¡o incluso más!). Probaló y después contanos qué te parece ❤️‍🔥."
"Mini Rogel bañado","El clásico que amás, en versión mini. Nuestro Mini Rogel keto está hecho con capas crocantes, relleno con dulce de leche sin azúcar y cubierto con un baño de chocolate intenso que se derrite en la boca."
"Mini rogel (sin baño)","Mini Rogel Keto Clásico (sin baño) Una delicia en versión saludable. Nuestro Mini Rogel keto mantiene la esencia del postre tradicional, con capas crocantes y ese relleno de dulce de leche sin azúcar que lo hace irresistible… pero sin el baño de chocolate. Ideal para los que prefieren un sabor más suave."
"Budín Marmolado","Budín marmolado de vainilla y chocolate hecho con harina de almendras. Suave, húmedo y sin harinas refinadas."
"Trio Panes Saborizados. Aceituna/Jamón/Queso","Trío de panes Keto artesanales de 320 g c/u, elaborados con harina de almendras. Incluye tres sabores: Jamón, Aceitunas verdes y Queso. De miga suave y textura esponjosa, son ideales para acompañar tus comidas o disfrutar solos, con sabor auténtico en cada rebanada."
"Ñoquis Keto (500g)","Ñoquis Keto caseros, bandeja de 500g, disponibles en espinaca o calabaza. Hechos con harina de almendra, sin harinas refinadas. Se cocinan en pocos minutos y podés acompañarlos con la salsa que más te guste."
"Ñoquis Keto (1Kg)","Ñoquis keto caseros de 1kg, disponibles en espinaca o calabaza. Hechos con harina de almendra, sin harinas refinadas. Aptos para dieta cetogénica y low carb. Se cocinan en pocos minutos y podés acompañarlos con la salsa que más te guste."
"Pan de Harina de Garbanzo (x6)","Panes artesanales elaborados con harina de garbanzo, de miga suave y sabor ligeramente tostado que combina perfecto con fiambres, quesos y todo tipo de preparaciones saladas. Son una alternativa distinta al pan tradicional, ideales para picadas, sándwiches o acompañar tus comidas diarias. Presentación en pack de 6 unidades, listos para disfrutar y compartir."
