"id","local_name","current_description","wp_title","wp_description","confidence","status"
"13","Pan tortuga mediano (x6)","El clásico pan de hamburguesa en su versión integral, tierno y perfecto para tus preparaciones caseras.","Pan Tortuga Mediano (6)","Una explosión de sabores y colores. Estos panes tortuga vienen en tres variedades: Remolacha, Zapallo y Espinaca. Su miga suave y esponjosa los hace perfectos para acompañar tus picadas o sándwiches. Vienen en bandeja de 6 Unidades.","1","auto"
"14","Pan árabe (x6)","Liviano y flexible pan pita integral. Ideal para rellenar, tostar o disfrutar con tus dips favoritos.","Pan Árabe (6)","Pan Árabe Integral (precio x 6 unidades). Livianos, versátiles y preparados con harina integral. Perfectos para acompañar picadas, rellenar o simplemente disfrutar solos. Saludables y caseros, para cualquier ocasión.","1","auto"
"15","Pizzetas (x12)","Bases de pizzeta integrales listas para llevar al horno con el queso y los toppings que prefieras.","Pizzetas Integrales (12)","Nuestras pre pizzetas de harina integral vienen listas para que las completes a tu gusto. Con una base crujiente y una capa de salsa casera, son la opción perfecta para una comida rápida, saludable y deliciosa. ¡Solo agregá tus ingredientes favoritos y disfrutá!","0,5","review"
"16","Scones de Queso (x8)","Scones doraditos por fuera y tiernos por dentro, con un intenso y tentador sabor a queso.","Scones de Queso (8)","Scones de Queso Integrales (bolsa de 6 unidades). Con todo el sabor del queso y hechos con harina integral para que disfrutes sin culpa. ¡Perfectos para acompañar con mate!","1","auto"
"17","Tapa para tacos/fajitas (x6)","Tortillas integrales flexibles y resistentes. La base perfecta para tus tacos y burritos saludables.","Tapas para Tacos/Fajitas (6 unidades)","Nuestras tapas para tacos y fajitas están elaboradas con harina integral, brindando una opción más saludable sin sacrificar el sabor ni la textura. Con 6 unidades por paquete, son suaves, flexibles y perfectas para envolver tus ingredientes favoritos, desde carnes y vegetales hasta combinaciones más creativas.","0,429","manual"
"18","Tartas individuales","Disfrutá nuestras tartas individuales con una base de harina integral y una variedad de sabores: calabaza con choclo y jamón / jamón y queso / cebolla y queso / verdura / caprese / cebolla caramelizada / roquefort. Cada opción está hecha con ingredientes frescos para ofrecerte una experiencia deliciosa y satisfactoria.","Tartas Individuales Integral","Tartas Individuales de harina Integral. Elige entre Calabaza con Choclo y Queso / Jamón y Queso / Cebolla y Queso / Verdura / Caprese / Cebolla Caramelizada / Roquefort. ¡Sabores variados para cada gusto!","0,667","review"
"19","Bon o Bon saludable (x4)","La versión saludable del clásico bocado, con un corazón cremoso y una cobertura de chocolate irresistible.","Bon o Bon saludable (4 unidades)","Bon o Bon saludable sin azúcar, con relleno cremoso y deliciosa cobertura de chocolate. Pack de 4 unidades, ideales para disfrutar sin culpas.","0,8","auto"
"20","Brownie saludable (1 porción)","Húmedo, intensamente chocolatoso y elaborado con harinas integrales. La merienda perfecta sin renunciar al placer.","Brownie Saludable (por porción)","Disfrutá de este brownie saludable, una porción que combina todo el placer del clásico postre con ingredientes más nutritivos. Hecho con harina integral, cacao puro y endulzantes naturales, es perfecto para quienes buscan un capricho dulce sin perder de vista una alimentación equilibrada. Su textura esponjosa y su intenso sabor a chocolate lo convierten en una opción irresistible, ideal para meriendas o postres.","0,6","review"
"21","Budín de Manzana (450g)","Esponjoso y aromático, elaborado con manzanas frescas y un toque de canela que enamora en cada bocado.","Budín de Manzana","Budín de Manzana Integral - 450g aprox. Suave, esponjoso y con el dulzor natural de las manzanas. Hecho con harina integral para una opción más sana, perfecto para disfrutar en cualquier momento del día. ¡Una tentación casera y deliciosa!","1","auto"
"22","Carrot Cake","Torta de zanahoria húmeda, perfumada con especias y con una textura increíble. Un clásico renovado.","Carrot Cake Integral","Ideamos esta versión saludable del carrot cake para que puedas disfrutar de algo distinto y riquísimo en tus desayunos y meriendas. Hecho con harina integral y endulzado con stevia, es el toque perfecto para endulzar tus momentos sin culpa. ¡No te quedes sin probarlo!","0,667","review"
"23","Muffins de Mandarina (x6)","Muffins tiernos y perfumados con el cítrico y fresco sabor de la mandarina. Ideales para el mate de la tarde.","Muffins de Mandarina (6)","MUFFINS DE MANDARINA. Ideales para una rica merienda saludable! Están hechos con harina integral y nueces, endulzados con stevia. No te los podes perder, son una bomba . Vienen en bandeja de 6 Unidades.","1","auto"
"24","Pancakes (x4)","Panqueques integrales listos para acompañar con miel, frutas o dulce de leche. Tu desayuno de campeones.","Pancakes (4)","Disfrutá de estos esponjosos pancakes caseros, elaborados con harina integral para una opción más nutritiva. Perfectos para un desayuno energético o una merienda saludable, podés combinarlos con frutas frescas, miel o el topping que más te guste. Vienen en bolsa de 4 Unidades.","1","auto"
"25","Pastafrola individual (x1) (Memb./Bat./Ricot.)","Nuestra clásica pastafrola en formato individual, con masa integral y tu relleno favorito. Puro sabor a tradición.","Pastafrola Individual","Pastafrola Individual (Por Unidad) MEMBRILLO - BATATA - RICOTA","0,4","manual"
"26","Pepas de Membrillo y Batata (x12)","Las infaltables galletitas con centro de membrillo o batata. Perfectas para acompañar cada infusión del día.","Budín de Limón y Coco","Budín de limón y coco, súper esponjoso, con ese gustito cítrico que te alegra el día. Viene con una ganache de chocolate blanco, es Keto. Perfecto para cuando querés algo rico, pero sin sentirte pesado. Ideal para la merienda!","0,25","manual"
"28","Nueces rellenas de DDL bañadas en choc. (x6)","Nueces crujientes rellenas de abundante dulce de leche y bañadas en chocolate. Un capricho irresistible.","Nueces con Dulce de Leche (6)","Nuestras nueces rellenas con dulce de leche y bañadas en chocolate, todo sin azúcar, son la versión saludable del clásico tentador. Crocantes, bien nueceras y con ese toque de dulce de leche que te hace decir ""¡qué rico esto!"". Un snack ideal para el mate, o cuando pinta el antojo dulce sin salirte de la línea. Vienen de a 6 unidades.","0,556","review"
"29","Bases para tartas keto (x3)","Bases bajas en carbohidratos para preparar tus tartas. Ligeras y perfectas para tu dieta cetogénica.","Tartas Individuales Keto","Tartas individuales Keto. Hechas sin harinas tradicionales, estas tartas son ideales para quienes buscan opciones ricas y saludables. Elegí entre nuestras variedades: Calabaza con Choclo y Queso / Jamón y Queso /Cebolla y Queso / Verdura / Caprese / Cebolla Caramelizada / Roquefort. ¡Una opción para cada gusto, perfectas para cualquier ocasión!","0,4","manual"
"30","Bases para tartas keto (x6)","Pack de bases bajas en carbohidratos para tartas caseras. La solución práctica para tus comidas semanales.","Tartas Individuales Keto","Tartas individuales Keto. Hechas sin harinas tradicionales, estas tartas son ideales para quienes buscan opciones ricas y saludables. Elegí entre nuestras variedades: Calabaza con Choclo y Queso / Jamón y Queso /Cebolla y Queso / Verdura / Caprese / Cebolla Caramelizada / Roquefort. ¡Una opción para cada gusto, perfectas para cualquier ocasión!","0,4","manual"
"31","Chips rellenos de JyQ (x6)","Pancitos keto súper esponjosos rellenos de jamón y queso. El bocado perfecto, sin harinas refinadas.","Chips rellenos de JyQ Integrales (12)","Estos chips integrales son el snack perfecto para cualquier momento del día. Hechos con harina integral, combinan lo mejor del sabor clásico con un toque nutritivo.","0,833","auto"
"32","Chips rellenos de JyQ (x12)","Pancitos keto súper esponjosos rellenos de jamón y queso, en cantidad ideal para compartir.","Chips rellenos de JyQ Integrales (12)","Estos chips integrales son el snack perfecto para cualquier momento del día. Hechos con harina integral, combinan lo mejor del sabor clásico con un toque nutritivo.","0,833","auto"
"33","Crackers con semillas (250g)","Galletas saladas crujientes a base de semillas, ideales para untar y acompañar tus picadas keto.","Crackers con semillas (bolsa 250g)","Nuestras crackers de harina integral con semillas son el snack perfecto para cualquier momento del día. Hechas con una mezcla de semillas de girasol, sésamo y chía, estos crackers son tan crujientes como nutritivos. Vienen en una bolsa de aproximadamente 250g. Sin conservantes ni harinas refinadas, estas crackers son una opción saludable para acompañar cualquier cosa.","0,75","auto"
"34","Tapa/Fajitas para tacos (x3)","Tortillas keto flexibles y de gran sabor. Perfectas para armar burritos o tacos bajos en carbohidratos.","Tapas para Tacos/Fajitas (6 unidades)","Nuestras tapas para tacos y fajitas están elaboradas con harina integral, brindando una opción más saludable sin sacrificar el sabor ni la textura. Con 6 unidades por paquete, son suaves, flexibles y perfectas para envolver tus ingredientes favoritos, desde carnes y vegetales hasta combinaciones más creativas.","0,429","manual"
"35","Tapa/Fajitas para tacos (x6)","Pack de tortillas keto flexibles, indispensables para una cena de tacos deliciosa y saludable.","Tapas para Tacos/Fajitas (6 unidades)","Nuestras tapas para tacos y fajitas están elaboradas con harina integral, brindando una opción más saludable sin sacrificar el sabor ni la textura. Con 6 unidades por paquete, son suaves, flexibles y perfectas para envolver tus ingredientes favoritos, desde carnes y vegetales hasta combinaciones más creativas.","0,429","manual"
"36","Figacitas (x8)","Pequeños panes suaves y tiernos aptos keto. Ideales para preparar minisandwiches para toda la familia.","Figacitas (8)","Figacitas de Harina de Almendra (bandeja de 8 unidades). Suaves, con ese toque único de la almendra. Perfectas para armar picadas o acompañar tus comidas. Una vuelta de tuerca saludable y sabrosa a las clásicas figacitas.","1","auto"
"37","Muffins de Queso (x6)","Muffins salados, húmedos y con un intenso sabor a queso. Una excelente opción keto para desayunar o merendar.","Muffins de Queso","Muffins de queso keto en bandeja de 6, con textura esponjosa y sabor a queso delicioso.","1","auto"
"38","Pan árabe (x3)","Clásico pan de estilo árabe, chato y apto keto. Ideal para rellenar o acompañar con dips.","Pan Árabe (6)","Pan Árabe Integral (precio x 6 unidades). Livianos, versátiles y preparados con harina integral. Perfectos para acompañar picadas, rellenar o simplemente disfrutar solos. Saludables y caseros, para cualquier ocasión.","1","auto"
"39","Pan árabe (x6)","Clásico pan de estilo árabe, chato y apto keto. Ideal para tus comidas bajas en hidratos.","Pan Árabe (6)","Pan Árabe Integral (precio x 6 unidades). Livianos, versátiles y preparados con harina integral. Perfectos para acompañar picadas, rellenar o simplemente disfrutar solos. Saludables y caseros, para cualquier ocasión.","1","auto"
"40","Ñoquis Calabaza o Espinaca (500g)","Exquisitos ñoquis sin harinas refinadas. Saborizados con calabaza o espinaca, un plato principal nutritivo y keto.","Ñoquis Keto (500g)","Ñoquis Keto caseros, bandeja de 500g, disponibles en espinaca o calabaza. Hechos con harina de almendra, sin harinas refinadas. Se cocinan en pocos minutos y podés acompañarlos con la salsa que más te guste.","0,2","manual"
"41","Pan de Almendras (700g)","Un pan de molde keto elaborado a base de almendras, de miga tierna y sabor suave, perfecto para tus tostadas.","Pan de Almendras","Pan casero horneado, hecho con harina de almendras, perfecto para quienes siguen una dieta Keto. Ligero, nutritivo y sin gluten, con una textura suave que te sorprenderá. Ideal para tus comidas o para acompañar una picada saludable. ¡Una Alternativa deliciosa! (700g aprox.)","1","auto"
"42","Pan tortuga (x6)","Esponjosos panes redondos aptos keto. La base ideal para preparar increíbles hamburguesas saludables.","Pan Tortuga Keto (6)","Nuestro Pan Tortuga Keto es ideal para los que quieren un pancito rico y liviano. Esponjoso, sin gluten, pero con todo el sabor para disfrutar en cualquier momento. Perfecto para hacerte un buen sándwich o acompañar tus comidas. (Bandeja de 6 Unidades)","0,667","review"
"43","Pizzetas (x6)","Bases keto para mini pizzas, con la textura justa para agregar tu salsa y queso favorito.","Pizzetas Integrales (12)","Nuestras pre pizzetas de harina integral vienen listas para que las completes a tu gusto. Con una base crujiente y una capa de salsa casera, son la opción perfecta para una comida rápida, saludable y deliciosa. ¡Solo agregá tus ingredientes favoritos y disfrutá!","0,5","review"
"44","Scones de Queso (x8)","Sabrosos scones con queso, de miga desgranable. Una alternativa keto salada que nunca falla.","Scones de Queso (8)","Scones de Queso Integrales (bolsa de 6 unidades). Con todo el sabor del queso y hechos con harina integral para que disfrutes sin culpa. ¡Perfectos para acompañar con mate!","1","auto"
"45","Tartas individuales","Mini tartas deliciosas con base baja en carbohidratos y rellenos variados. Un almuerzo exprés y saludable.","Tartas Individuales Integral","Tartas Individuales de harina Integral. Elige entre Calabaza con Choclo y Queso / Jamón y Queso / Cebolla y Queso / Verdura / Caprese / Cebolla Caramelizada / Roquefort. ¡Sabores variados para cada gusto!","0,667","review"
"46","Alfajor relleno de DDL s/azúcar o ganache de chocolate s/azúcar (x1)","Delicado alfajor de masa suave con abundante relleno keto, sin azúcar. Un mimo dulce irresistible.","Alfajor Relleno de Dulce de Leche o Ganache","Alfajor artesanal hecho con harina de almendras, relleno de dulce de leche o ganache. Sabor clásico, sin azúcar. ¡Irresistible y saludable!","0,9","auto"
"47","Alfajor bañado en chocolate relleno de DDL o ganache de chocolate s/azúcar (x1)","Exquisito alfajor bañado, con interior cremoso y una cobertura crujiente. Todo el sabor, cero culpas.","Alfajor Relleno de Dulce de Leche o Ganache","Alfajor artesanal hecho con harina de almendras, relleno de dulce de leche o ganache. Sabor clásico, sin azúcar. ¡Irresistible y saludable!","0,75","auto"
"48","Bombón keto de chocolate relleno de DDL o DDL de arándanos (x6)","Pequeñas delicias de chocolate intenso con corazón dulce y frutal. Perfectos para un antojo keto.","Alfajor Relleno de Dulce de Leche o Ganache","Alfajor artesanal hecho con harina de almendras, relleno de dulce de leche o ganache. Sabor clásico, sin azúcar. ¡Irresistible y saludable!","1","auto"
"49","Bon o Bon saludable (x4)","Crujiente y cremoso bocadito apto keto. Una versión saludable de la golosina que todos aman.","Bon o Bon saludable (4 unidades)","Bon o Bon saludable sin azúcar, con relleno cremoso y deliciosa cobertura de chocolate. Pack de 4 unidades, ideales para disfrutar sin culpas.","0,8","auto"
"50","Brownie (por porción)","Cuadrado de brownie húmedo y de sabor profundo a cacao. Una indulgencia cetogénica que se derrite en la boca.","Brownie Saludable (por porción)","Disfrutá de este brownie saludable, una porción que combina todo el placer del clásico postre con ingredientes más nutritivos. Hecho con harina integral, cacao puro y endulzantes naturales, es perfecto para quienes buscan un capricho dulce sin perder de vista una alimentación equilibrada. Su textura esponjosa y su intenso sabor a chocolate lo convierten en una opción irresistible, ideal para meriendas o postres.","0,75","auto"
"51","Budín con Nuez","Budín keto suave con trozos de nuez que le dan una textura increíble. Ideal para el café de la tarde.","Budin con Nuez Keto","Una opción deliciosa y saludable para tus meriendas o desayunos. Este budín esponjoso está hecho sin harinas tradicionales, con ingredientes Keto, y viene cargado de nueces crocantes que le dan un toque especial. Ideal para darte un gusto sin salirte de la dieta. Sin gluten, sin azúcar y lleno de sabor. ¡Probalo y sorprendete!""","0,75","auto"
"52","Budín de Limón y Coco (ganache choc. blanco)","Refrescante budín keto de limón con toques de coco y una exquisita ganache superior.","Budín de Limón y Coco","Budín de limón y coco, súper esponjoso, con ese gustito cítrico que te alegra el día. Viene con una ganache de chocolate blanco, es Keto. Perfecto para cuando querés algo rico, pero sin sentirte pesado. Ideal para la merienda!","0,625","review"
"53","Mantecol saludable (170g)","El clásico turrón de maní adaptado para tu dieta baja en carbohidratos, con su textura desmenuzable característica.","Mantecol Saludable","¡Mantecol Saludable que no tiene nada que envidiarle al original! 🎉 Reinventamos el clásico mantecol con una versión saludable y deliciosa de aproximadamente 170 gramos de puro sabor 💣. Elaborado con ingredientes naturales como pasta de maní, frutos secos y chocolate sin azúcar, es la opción perfecta para quienes buscan darse un gusto dulce sin culpas. Aunque igualar el sabor del mantecol tradicional es un desafío, esta versión es igual de irresistible (¡o incluso más!). Probaló y después contanos qué te parece ❤️‍🔥.","1","auto"
"54","Muffins de Nueces o Arándanos o Chocolate (x6)","Muffins dulces, esponjosos y en diferentes variedades. Una merienda keto con mucho sabor.","Muffins de Chocolate","Muffins de Chocolate Keto (bandeja de 6). Deliciosos y esponjosos, hechos sin harinas tradicionales. Ideales para quienes buscan un dulce bajo en carbohidratos, sin perder ese sabor intenso a chocolate que tanto te gusta.","0,5","review"
"55","Muffins rellenos con ganache (x6)","Tiernos muffins keto con un corazón fluido y tentador de ganache. Una delicia para paladares exigentes.","Muffins Rellenos con Ganache (6)","Para los amantes del dulce que buscan opciones sin culpa, estos muffins Keto son el placer perfecto. Rellenos con un irresistible ganache cremoso, te ofrecen una delicia baja en carbohidratos pero llena de sabor. Ideales para acompañar el café de la tarde o como postre. Vienen en bandeja de 6 Unidades.","1","auto"
"56","Pancakes (x4)","Pancakes keto, suaves y esponjosos. Listos para apilar y servir con tus siropes sin azúcar.","Pancakes (4)","Disfrutá de estos esponjosos pancakes caseros, elaborados con harina integral para una opción más nutritiva. Perfectos para un desayuno energético o una merienda saludable, podés combinarlos con frutas frescas, miel o el topping que más te guste. Vienen en bolsa de 4 Unidades.","1","auto"
"57","Pan Dulce (350g)","El pan de las fiestas en versión baja en carbohidratos, tierno y con el mismo aroma a celebración.","Pan Dulce Keto","Disfrutá del clásico pan dulce, pero sin culpa, Keto. Hecho con harinas de almendras, endulzantes naturales y una mezcla irresistible de frutos secos. Ideal para quienes buscan una opción baja en carbohidratos, pero llena de sabor.","0,667","review"
"58","Pepas de DDL s/azúcar (x12)","Las tradicionales galletitas con una generosa gota de dulce de leche keto en el centro. Insuperables.","Pepas Dulce de Leche (12) Keto","Nuestras Pepas de Dulce de Leche sin Azúcar, irresistibles, están hechas especialmente para quienes siguen un estilo de vida Keto o buscan opciones bajas en carbohidratos. Disfrutá de la suavidad del clásico dulce de leche sin azúcar, acompañado de una masa crocante, libre de harinas refinadas. Vienen en bandeja de 12 unidades.","0,714","review"
"59","Rogel keto (1200g/1300g)","Un espectacular Rogel en capas, repleto de dulce de leche sin azúcar y merengue. La torta estrella para compartir.","Rogel Keto","Nuestro Rogel Keto es una versión saludable, sin azúcar y apto para quienes siguen una dieta cetogénica. Capas finas y crocantes, intercaladas con un suave dulce de leche sin azúcar y cubierto con un chocolate ligero. Todo el sabor tradicional, sin culpas. (1200g/1300g aprox.)","1","auto"
"60","Mini rogel tipo alfajor bañado en choco.","La magia del rogel en porción individual, con baño de chocolate amargo para darle un toque especial.","Mini Rogel bañado","El clásico que amás, en versión mini. Nuestro Mini Rogel keto está hecho con capas crocantes, relleno con dulce de leche sin azúcar y cubierto con un baño de chocolate intenso que se derrite en la boca.","0,429","manual"
"61","Mini rogel sin baño","Porción individual de rogel keto clásico, con capas crujientes y mucho dulce de leche.","Mini rogel (sin baño)","Mini Rogel Keto Clásico (sin baño) Una delicia en versión saludable. Nuestro Mini Rogel keto mantiene la esencia del postre tradicional, con capas crocantes y ese relleno de dulce de leche sin azúcar que lo hace irresistible… pero sin el baño de chocolate. Ideal para los que prefieren un sabor más suave.","1","auto"
"62","Tarta de coco individual","Tartita crujiente con base keto, generosa capa de dulce de leche y un irresistible topping de coco rallado.","Tarta de Coco individual Keto","Una delicia que combina lo mejor del coco y el dulce de leche, pero en su versión Keto. Hecha con harina almendras, endulzada con alternativas naturales bajas en carbohidratos, y rellena con dulce de leche sin azúcar. Esta tarta es perfecta para quienes buscan disfrutar de algo dulce sin salir de su estilo de vida keto. Ideal para acompañar un té o sorprender en la sobremesa.","0,8","auto"
